0.000000	30.057000

0.002552	30.592000

0.005103	31.051000

0.007655	31.455000

0.010206	31.810000

0.012758	32.124000

0.015309	32.400000

0.017861	32.647000

0.020412	32.872000

0.022964	33.077000

0.025515	33.260000

0.028067	33.422000

0.030618	33.563000

0.033170	33.684000

0.035721	33.788000

0.038273	33.878000

0.040824	33.957000

0.043376	34.026000

0.045927	34.087000

0.048479	34.143000

0.051030	34.192000

0.053582	34.237000

0.056133	34.276000

0.058685	34.310000

0.061236	34.340000

0.063788	34.366000

0.066339	34.388000

0.068891	34.408000

0.071442	34.425000

0.073994	34.442000

0.076545	34.458000

0.079097	34.476000

0.081648	34.495000

0.084200	34.515000

0.086751	34.537000

0.089303	34.559000

0.091854	34.582000

0.094406	34.604000

0.096957	34.624000

0.099509	34.644000

0.102060	34.662000

0.104612	34.678000

0.107164	34.692000

0.109715	34.704000

0.112267	34.714000

0.114818	34.724000

0.117370	34.733000

0.119921	34.742000

0.122473	34.750000

0.125024	34.759000

0.127576	34.768000

0.130127	34.779000

0.132679	34.790000

0.135230	34.801000

0.137782	34.815000

0.140333	34.829000

0.142885	34.842000

0.145436	34.857000

0.147988	34.872000

0.150539	34.886000

0.153091	34.901000

0.155642	34.916000

0.158194	34.931000

0.160745	34.946000

0.163297	34.961000

0.165848	34.977000

0.168400	34.993000

0.170951	35.008000

0.173503	35.023000

0.176054	35.037000

0.178606	35.050000

0.181157	35.063000

0.183709	35.075000

0.186260	35.085000

0.188812	35.096000

0.191363	35.106000

0.193915	35.115000

0.196466	35.124000

0.199018	35.133000

0.201569	35.144000

0.204121	35.154000

0.206672	35.165000

0.209224	35.176000

0.211775	35.187000

0.214327	35.199000

0.216879	35.209000

0.219430	35.220000

0.221982	35.231000

0.224533	35.240000

0.227085	35.249000

0.229636	35.258000

0.232188	35.266000

0.234739	35.275000

0.237291	35.283000

0.239842	35.288000

0.242394	35.286000

0.244945	35.275000

0.247497	35.255000

0.250048	35.228000

0.252600	35.193000

0.255151	35.152000

0.257703	35.105000

0.260254	35.053000

0.262806	34.996000

0.265357	34.934000

0.267909	34.868000

0.270460	34.799000

0.273012	34.727000

0.275563	34.651000

0.278115	34.572000

0.280666	34.491000

0.283218	34.410000

0.285769	34.333000

0.288321	34.258000

0.290872	34.191000

0.293424	34.128000

0.295975	34.074000

0.298527	34.024000

0.301078	33.982000

0.303630	33.945000

0.306181	33.914000

0.308733	33.886000

0.311284	33.863000

0.313836	33.844000

0.316387	33.828000

0.318939	33.814000

0.321491	33.802000

0.324042	33.792000

0.326594	33.785000

0.329145	33.779000

0.331697	33.774000

0.334248	33.770000

0.336800	33.766000

0.339351	33.763000

0.341903	33.761000

0.344454	33.759000

0.347006	33.757000

0.349557	33.755000

0.352109	33.753000

0.354660	33.752000

0.357212	33.750000

0.359763	33.749000

0.362315	33.748000

0.364866	33.747000

0.367418	33.746000

0.369969	33.745000

0.372521	33.744000

0.375072	33.744000

0.377624	33.744000

0.380175	33.744000

0.382727	33.744000

0.385278	33.744000

0.387830	33.745000

0.390381	33.745000

0.392933	33.745000

0.395484	33.745000

0.398036	33.745000

0.400587	33.745000

0.403139	33.744000

0.405690	33.744000

0.408242	33.744000

0.410793	33.744000

0.413345	33.744000

0.415896	33.744000

0.418448	33.744000

0.420999	33.743000

0.423551	33.742000

0.426103	33.741000

0.428654	33.740000

0.431206	33.738000

0.433757	33.737000

0.436309	33.736000

0.438860	33.735000

0.441412	33.734000

0.443963	33.734000

0.446515	33.733000

0.449066	33.732000

0.451618	33.731000

0.454169	33.730000

0.456721	33.729000

0.459272	33.728000

0.461824	33.728000

0.464375	33.728000

0.466927	33.728000

0.469478	33.728000

0.472030	33.728000

0.474581	33.729000

0.477133	33.729000

0.479684	33.728000

0.482236	33.728000

0.484787	33.727000

0.487339	33.726000

0.489890	33.726000

0.492442	33.725000

0.494993	33.725000

0.497545	33.724000

0.500096	33.723000

0.502648	33.722000

0.505199	33.721000

0.507751	33.720000

0.510302	33.718000

0.512854	33.717000

0.515405	33.717000

0.517957	33.717000

0.520508	33.717000

0.523060	33.717000

0.525611	33.717000

0.528163	33.717000

0.530715	33.717000

0.533266	33.716000

0.535818	33.715000

0.538369	33.713000

0.540921	33.712000

0.543472	33.711000

0.546024	33.710000

0.548575	33.710000

0.551127	33.710000

0.553678	33.711000

0.556230	33.711000

0.558781	33.711000

0.561333	33.710000

0.563884	33.710000

0.566436	33.710000

0.568987	33.710000

0.571539	33.710000

0.574090	33.709000

0.576642	33.709000

0.579193	33.708000

0.581745	33.708000

0.584296	33.707000

0.586848	33.706000

0.589399	33.705000

0.591951	33.704000

0.594502	33.704000

0.597054	33.703000

0.599605	33.703000

0.602157	33.702000

0.604708	33.702000

0.607260	33.702000

0.609811	33.701000

0.612363	33.700000

0.614914	33.699000

0.617466	33.697000

0.620017	33.696000

0.622569	33.695000

0.625120	33.694000

0.627672	33.693000

0.630223	33.692000

0.632775	33.691000

0.635326	33.690000

0.637878	33.690000

0.640430	33.689000

0.642981	33.688000

0.645533	33.688000

0.648084	33.687000

0.650636	33.686000

0.653187	33.685000

0.655739	33.684000

0.658290	33.683000

0.660842	33.682000

0.663393	33.681000

0.665945	33.681000

0.668496	33.681000

0.671048	33.681000

0.673599	33.681000

0.676151	33.681000

0.678702	33.681000

0.681254	33.680000

0.683805	33.680000

0.686357	33.679000

0.688908	33.678000

0.691460	33.678000

0.694011	33.677000

0.696563	33.676000

0.699114	33.676000

0.701666	33.675000

0.704217	33.675000

0.706769	33.674000

0.709320	33.674000

0.711872	33.673000

0.714423	33.673000

0.716975	33.672000

0.719526	33.672000

0.722078	33.671000

0.724629	33.670000

0.727181	33.669000

0.729732	33.669000

0.732284	33.669000

0.734835	33.668000

0.737387	33.668000

0.739938	33.668000

0.742490	33.668000

0.745042	33.668000

0.747593	33.668000

0.750145	33.668000

0.752696	33.669000

0.755248	33.669000

0.757799	33.669000

0.760351	33.669000

